area,square_ft,price,bedrooms,pricepersq_ft,status,bathrooms,age_of_property
Annanagar,1565,24200000,2,15463,unfurnished,3,2
Annanagar,1500,19000000,3,12666,unfurnished,3,2
Annanagar,1170,6433000,2,5499,unfurnished,2,2
Annanagar,1250,22100000,3,17680,unfurnished,2,0
Annanagar,2661,42500000,4,15990,unfurnished,4,0
Annanagar,1490,13500000,3,9060,semifurnished,3,9
Annanagar,1375,25000000,3,18181,unfurnished,3,2
Annanagar,2200,35200000,3,16000,semifurnished,3,6
Annanagar,1481,18500000,3,12499,unfurnished,2,2
Annanagar,1175,17300000,3,14765,unfurnished,2,5
Annanagar,1440,23000000,3,16527,unfurnished,3,1
Annanagar,1277,16600000,3,13004,unfurnished,2,0
Annanagar,1194,10100000,2,8458,semifurnished,2,9
Annanagar,2640,30000000,3,11363,semifurnished,3,8
Annanagar,1435,20000000,2,13990,unfurnished,3,0
Annanagar,1618,25500000,3,15800,unfurnished,3,0
Annanagar,1200,15000000,3,12500,semifurnished,3,7
Annanagar,2100,25900000,4,12333,semifurnished,3,5
Annanagar,1170,6435000,2,5500,unfurnished,2,2
Annanagar,1495,18600000,3,12499,unfurnished,3,2
Annanagar,1320,19800000,3,15000,unfurnished,2,2
Annanagar,930,9500000,2,10215,unfurnished,2,8
Annanagar,1140,6555000,3,5750,unfurnished,2,2
Annanagar,2600,23400000,4,9000,furnished,4,5
Annanagar,990,7000000,2,7070,semifurnished,2,3
Annanagar,2062,23500000,3,11396,furnished,3,7
Annanagar,1256,18800000,3,15000,unfurnished,2,0
Annanagar,1240,22500000,2,18145,unfurnished,3,0
Annanagar,1555,16000000,2,10300,unfurnished,3,0
Annanagar,1049,10200000,2,9749,unfurnished,2,3
Annanagar,1597,20400000,3,12827,unfurnished,2,1
Annanagar,3030,55000000,5,18151,semifurnished,5,1
Annanagar,1277,16600000,3,13004,unfurnished,2,0
Annanagar,3884,39800000,4,10247,semifurnished,5,0
Annanagar,1260,14500000,1,11507,semifurnished,2,5
Annanagar,3000,30000000,4,10000,semifurnished,4,1
Annanagar,1000,10000000,2,10000,unfurnished,2,1
Annanagar,3053,48800000,3,15990,unfurnished,3,0
Annanagar,2916,46600000,3,15990,unfurnished,4,0
Annanagar,670,6500000,2,9701,furnished,1,2
Annanagar,1800,10300000,4,5500,unfurnished,4,2
Annanagar,1580,23000000,3,1580,furnished,3,5
Annanagar,1320,19800000,4,15000,unfurnished,4,2
Annanagar,1050,12000000,2,11428,semifurnished,2,10
Annanagar,2062,22000000,3,10669,unfurnished,3,6
Annanagar,1440,8220000,3,5708,semifurnished,3,2
Annanagar,1618,27500000,3,17016,unfurnished,3,7
Annanagar,5022,80300000,5,15990,unfurnished,5,0
Annanagar,6000,12500000,5,20833,furnished,5,1
Annanagar,1555,16000000,2,10300,unfurnished,2,0
Annanagar,1667,26300000,3,15800,unfurnished,3,0
Annanagar,836,6999000,2,8373,unfurnished,2,0
Annanagar,824,6599000,2,8009,unfurnished,2,1
Koyambedu,1340,12500000,3,9328,unfurnished,2,0
